순위,제목,저자,출판사,요약
89,스파크를 활용한 실시간 처리,제러드 마스,한빛미디어,"데이터를 실시간으로 처리하는 방법을 안다면, 분석 도구로 빠르게 인사이트를 얻을 수 있다. 이 책은 아파치 스파크를 기반으로 인메모리 프레임워크를 사용해 스트리밍 데이터를 처리하는 방법을 학습한다."
90,업무에 바로 쓰는 SQL 튜닝,양바른,한빛미디어,SQL 튜닝은 수많은 데이터를 더 빠르고 강력하게 처리하도록 해주는 가장 중요한 기술이다. 하지만 쉽지 않은 내용 때문에 부담감을 갖고 시작조차 못하는 개발자도 많다. 이 책은 SQL의 기초 지식만 있다면
91,MariaDB 스타터(소프트웨어 개발자를 위한),문기준,하움출판사,"데이터베이스를 처음 공부하는 학생에게는 가장 기본적인 지식을 제공하고, 소프트웨어 개발자에게는 데이터베이스의 구조와 작동 원리를 일주일 내외로 익혀 현장에서 바로 응용할 수 있도록 해주는 최소한의"
92,모두를 위한 PostgreSQL,정승호,비제이퍼블릭,"이 책에서는 PostgreSQL를 활용하여 데이터베이스를 개발할 때 기본이 되는 요소인 테이블 생성, 컬럼 변경뿐 아니라 데이터 생성, 읽기, 수정, 삭제와 같은 동작을 ‘커뮤니티 게시판에 글 작성하기’와 같은"
93,개발자를 위한 PL/SQL 프로그래밍,나장근,제이펍,"이 책은 오라클 PL/SQL 프로그래밍 영역에서 입문자부터 중급자까지의 개발자에게 필요한 주제들을 거의 빠짐없이 담고 있다. 또한, PL/SQL 자체를 배우고 활용하기 위한 지식뿐만 아니라 자바나 .NET과 같은"
94,SQL Server: 개발편,이장래,루비페이퍼,[SQL Server: 개발편]은 아주 간단한 쿼리문부터 고급 쿼리 기법까지 배울 수 있는 SQL Server 개발자 가이드입니다. Microsoft 공인 강사의 생생한 현장 경험을 바탕으로 쉽고 친절한 개념 설명과 실용 예제로
95,SQL Server: 운영편,이장래,루비페이퍼,"[SQL Server: 운영편]은 SQL Server를 처음 접하는 독자를 위해 데이터베이스의 기본 구조와 개념부터 운영 및 활용 방법까지 자세하게 설명합니다. 또한, SQL Server를 배웠지만 아직 익숙하지 않은 서버"
96,JPA 퀵스타트,채규태,루비페이퍼,"이 책은 자바 기반의 데이터베이스 연동 기술의 변화를 개념으로만 설명하는 것에 그치지 않고, 하나의 예제를 JDBC, 마이바티스, 하이버네이트로 모두 구현해봄으로써 각 기술의 장단점은 물론 ORM이 등장하게 된"
97,"베이지안 데이터 분석 바이블(R, JAGS, Stan을 이용한)(2판)",존 크러슈케,제이펍,"데이터 분석을 위한 최고의 베이지안 이론서!

이 책은 잘 알려진 무료 소프트웨어인 R, JAGS, Stan을 이용해 베이지안 데이터 분석을 수행하는 방법을 단계별로 설명한다. 입문 수준의 독자도 쉽게 이해할 수"
98,그림으로 공부하는 오라클 구조(개정판),스기타 아츠시,제이펍,커맨드나 기능명 등을 암기하는 것만으로는 오라클 데이터베이스의 관리 업무 능력을 익히기 어렵습니다. 이 책은 오라클 데이터베이스의 아키텍처나 내부 동작/기본 동작을 하드웨어나 OS의 동작과 더불어 알기
99,데이터 시각화 교과서,클라우스 윌케,책만,"데이터 시각화는 예술이자 과학이다. 과학적으로 정확하면서 미적으로 흉하지 않아야 하며, 또한 미적으로 탁월하면서도 과학적으로 오류를 용납하지 않는 결과물을 만들어야 한다. 데이터 시각화는 무엇보다도"
100,임파워드,마티 케이건,제이펍,"아마존, 애플, 구글, 넷플릭스, 테슬라와 같은 IT 기반 제품을 만드는 업계 최고의 기업들은 끊임없이 혁신한다. 이를 가능하게 하는 요소는 무엇일까? 대부분의 사람은 다른 기업들보다 뛰어난 인재를 유치할 수"
101,김인성의 완벽한 데이터 관리,김인성,홀로깨달음,"[김인성의 완벽한 데이터 관리]는 당신이 찍은 사진, 영상, 간단한 메모, 문서 파일, 프로그램 소스... 당시의 디지털 데이터를 안전하게 보관하고, 완벽하게 복구하며, 컴퓨터 성능을 최적화하고, 보안 대책을"
102,오라클 실전 튜닝 1(Perfect),권순용,엑시엄,"이 책은 Ⅰ권에 데이터베이스 아키텍쳐 및 SQL 튜닝을 위한 기초적인 내용을 다루며, Ⅱ권에서 테이블들의 조인과 관련된 내용을 다룬다. Ⅰ권의 인덱스 아키텍쳐 및 파티션 아키텍쳐는 실제 운영에서 사용할 수"
103,오라클 실전 튜닝 2(Perfect),권순용,엑시엄,『오라클 실전 튜닝』 제2권은 최신에 출시된 오라클 신규 버전의 기능 중 유용한 부분을 보강하였고 오랜 실무 경력을 바탕으로 한 Tunning Tip을 대거 수록하여 실무에 바로 적용할 수 있도록 구성한 책이다. 이
104,ORACLE 12c: DBA 편(초보자를 위한)(개정판),권순용,엑시엄,"초보자를 위한 오라클 10g의 개정판!!!!!!

이 책은 오라클 12c 데이터베이스의 설치부터 관리까지 내용을 총 망라하였으며, 오라클에 처음 입문하는 입문자부터 수년간 오라클 경험한 경력자까지 체계적으로"
105,오라클 실전 튜닝 3(Perfect),권순용,엑시엄,"1권에서는 데이터베이스 아키텍쳐 및 SQL 튜닝 기초를 다루었고, 2권에서는 테이블들간의 조인을 통한 성능향상을 다뤘다. 이어서 3권에서는 실무에서 발생할 수 있는 SQL 사례들을 중심으로 구성하여 독자들에게"
106,ORACLE 12C: RAC 편(초보자를 위한),권순용,엑시엄,"초보자를 위한 Oracle 10g(SQL편)에서 Database에서 사용하는 SQL을 다루었고, 초보자를 위한 Oracle 10g(DBA편)에서는 Oracle Database에 대한 기술적인 부분을 다뤘다. 이 책에서는 Oracle RAC에 대해서"
107,관계형 데이터 모델링 프리미엄 가이드(개정판)(관계형 데이터 모델링 시리즈 1),김기창,위즈덤마인드,출간 이래 데이터 모델러와 데이터 아키텍트(Data Architect)의 필독서로 인정받아온 [관계형 데이터 모델링 프리미엄 가이드]의 개정판이다. 이 책은 저자의 [관계형 데이터 모델링 노트]와 함께 데이터 모델링
108,불친절한 PL/SQL 프로그래밍,정희락,디비안(주)(DBian),"오라클 데이터베이스 전문 개발자가 되려면 PL/SQL에 대한 지식이 반드시 필요하다. 첫 책인 ""불친절한 SQL 프로그래밍""에서 SQL 개발에 활용할 수 있는 PL/SQL 코드를 다수 소개한 바 있다. 이 책은 첫 책의"
